,x,y,z,region,septum,mitral_valve
278,6,107,31,heart_myocardium,0,0
279,6,107,32,heart_myocardium,0,0
280,6,107,33,heart_myocardium,0,0
281,6,108,16,heart_myocardium,0,0
282,6,108,17,heart_myocardium,0,0
283,6,108,18,heart_myocardium,0,0
284,6,108,31,heart_myocardium,0,0
285,6,108,32,heart_myocardium,0,0
286,6,108,33,heart_myocardium,0,0
287,6,109,16,heart_myocardium,0,0
288,6,109,17,heart_myocardium,0,0
289,6,109,18,heart_myocardium,0,0
290,6,109,31,heart_myocardium,0,0
291,6,109,32,heart_myocardium,0,0
292,6,110,16,heart_myocardium,0,0
293,6,110,17,heart_myocardium,0,0
294,6,110,18,heart_myocardium,0,0
295,6,110,30,heart_myocardium,0,0
296,6,110,31,heart_myocardium,0,0
297,6,110,32,heart_myocardium,0,0
298,6,111,16,heart_myocardium,0,0
299,6,111,17,heart_myocardium,0,0
300,6,111,18,heart_myocardium,0,0
301,6,111,19,heart_myocardium,0,0
302,6,111,29,heart_myocardium,0,0
303,6,111,30,heart_myocardium,0,0
304,6,111,31,heart_myocardium,0,0
305,6,112,17,heart_myocardium,0,0
306,6,112,18,heart_myocardium,0,0
307,6,112,19,heart_myocardium,0,0
308,6,112,20,heart_myocardium,0,0
309,6,112,29,heart_myocardium,0,0
310,6,112,30,heart_myocardium,0,0
311,6,112,31,heart_myocardium,0,0
312,6,113,17,heart_myocardium,0,0
313,6,113,18,heart_myocardium,0,0
314,6,113,19,heart_myocardium,0,0
315,6,113,20,heart_myocardium,0,0
316,6,113,21,heart_myocardium,0,0
317,6,113,22,heart_myocardium,0,0
318,6,113,28,heart_myocardium,0,0
319,6,113,29,heart_myocardium,0,0
320,6,113,30,heart_myocardium,0,0
321,6,114,18,heart_myocardium,0,0
322,6,114,19,heart_myocardium,0,0
323,6,114,20,heart_myocardium,0,0
324,6,114,21,heart_myocardium,0,0
325,6,114,22,heart_myocardium,0,0
326,6,114,23,heart_myocardium,0,0
327,6,114,24,heart_myocardium,0,0
328,6,114,25,heart_myocardium,0,0
329,6,114,27,heart_myocardium,0,0
330,6,114,28,heart_myocardium,0,0
331,6,114,29,heart_myocardium,0,0
332,6,115,19,heart_myocardium,0,0
333,6,115,20,heart_myocardium,0,0
334,6,115,21,heart_myocardium,0,0
335,6,115,22,heart_myocardium,0,0
336,6,115,23,heart_myocardium,0,0
337,6,115,24,heart_myocardium,0,0
338,6,115,25,heart_myocardium,0,0
339,6,115,26,heart_myocardium,0,0
340,6,115,27,heart_myocardium,0,0
341,6,115,28,heart_myocardium,0,0
342,6,115,29,heart_myocardium,0,0
343,6,116,20,heart_myocardium,0,0
344,6,116,21,heart_myocardium,0,0
345,6,116,22,heart_myocardium,0,0
346,6,116,23,heart_myocardium,0,0
347,6,116,24,heart_myocardium,0,0
348,6,116,25,heart_myocardium,0,0
349,6,116,26,heart_myocardium,0,0
350,6,116,27,heart_myocardium,0,0
351,6,116,28,heart_myocardium,0,0
352,7,90,27,heart_myocardium,0,0
353,7,90,28,heart_myocardium,0,0
354,7,90,29,heart_myocardium,0,0
355,7,90,30,heart_myocardium,0,0
356,7,91,25,heart_myocardium,0,0
357,7,91,26,heart_myocardium,0,0
358,7,91,27,heart_myocardium,0,0
359,7,91,28,heart_myocardium,0,0
360,7,91,29,heart_myocardium,0,0
361,7,91,30,heart_myocardium,0,0
362,7,91,31,heart_myocardium,0,0
363,7,91,32,heart_myocardium,0,0
364,7,92,23,heart_myocardium,0,0
365,7,92,24,heart_myocardium,0,0
366,7,92,25,heart_myocardium,0,0
367,7,92,26,heart_myocardium,0,0
